label,start-end,text
Albert,101-103,sin escrúpulos con los votos de los que dan golpes de estado
Albert,224-227,la violación de derechos humanos en Venezuela
Casado,66-71,y responsable de un golpe de Estado que se está presentando ahora mismo en España
Casado,80-86,que usted es responsable del golpe de Estado que están perpetrando los independentistas y que si no
Casado,123-131,palabras de aniversario del encarcelamiento de Companys lo que dices que ojalá no le pasará lo mismo a Puigdemont
Casado,143-151,yo le llamo golpiza a presidente del Gobierno pero participe que es responsable de no hacer nada con lo que está pasando en Cataluña que está haciendo un golpe al Estado
Casado,218-224,al sufrimiento de todo un país hermano como SL Venezuela su silencio
Iglesias,113-116,la próxima vez que le vea y haga un acto con él le pregunta qué
Iglesias,201-205,enormes presiones le pido que no haga usted como el Partido Popular
Pedro,71-75,esa frase que lo que haces
Pedro,87-96,Martín usted esa palabra sí o no sí o no sí las mantiene usted y yo no tenemos nada más
Pedro,138-142,eso tendrá que responder luxación inaceptable
Pedro,177-186,dónde tengo que estar hoy y aquí es señorías en la defensa de los intereses de España del trabajo de sectores estratégicos
Pedro,227-232,empieza a ser preocupante ustedes son políticos sin escrúpulos
Pedro,54-59,aprendamos del error histórico que supone el brexit para el Reino Unido
